sep=;
Time;Timestamp;Event;Count Rate, cps;Dose rate, R/h;Dose Rate Error, %;Dose Rate Alarm;Dose Alarm;Duration of dose accumulation, sec.;Dose, R;Temperature;Latitude;Longitude;Comment
2026-03-28 22:15:25.455;134192097254550000;;37.89423;1.426448E-4;9.7;0;0;;;;;;
2026-03-28 22:15:27.455;134192097274550000;;40.25;1.7739747E-4;20.4;0;0;;;;;;
2026-03-28 22:15:45.455;134192097454550000;;40.65;1.5440673E-4;20.4;0;0;;;;;;
2026-03-28 22:15:47.455;134192097474550000;;31.125;1.2393799E-4;37.1;0;0;;;;;;
2026-03-28 22:15:48.855;134192097488550000;;;;;0;0;421294;0.002371;-30.1;;;
2026-03-28 22:15:50.455;134192097504550000;;31.25;1.2945557E-4;37.1;0;0;;;;;;
2026-03-28 22:15:55.455;134192097554550000;;40.4;1.7749023E-4;21.6;0;0;;;;;;
2026-03-28 22:16:13.455;134192097734550000;;35.05;1.1764404E-4;21.6;0;0;;;;;;
2026-03-28 22:16:15.455;134192097754550000;;30.25;1.4321595E-4;26.0;0;0;;;;;;
2026-03-28 22:16:29.955;134192097899550000;;29.6875;1.217041E-4;26.0;0;0;;;;;;
2026-03-28 22:16:30.955;134192097909550000;;45.25;1.5460205E-4;43.7;0;0;;;;;;
2026-03-28 22:16:32.455;134192097924550000;;50.0;1.8604736E-4;43.7;0;0;;;;;;
2026-03-28 22:16:34.575;134192097945750000;;35.04348;1.3444529E-4;9.8;0;0;;;;;;
2026-03-28 22:16:35.455;134192097954550000;;34.393784;1.322554E-4;10.1;0;0;;;;;;
2026-03-28 22:16:48.855;134192098088550000;;;;;0;0;421354;0.002374;-31.3;;;
2026-03-28 22:17:22.705;134192098427050000;;35.73057;1.3949917E-4;10.1;0;0;;;;;;
2026-03-28 22:17:48.855;134192098688550000;;;;;0;0;421414;0.002376;-32.3;;;
2026-03-28 22:18:15.825;134192098958250000;;35.940887;1.4288793E-4;9.9;0;0;;;;;;
2026-03-28 22:18:17.825;134192098978250000;;35.83575;1.429211E-4;9.8;0;0;;;;;;
2026-03-28 22:18:18.075;134192098980750000;;108.0;6.9257815E-4;66.8;0;0;;;;;;
2026-03-28 22:18:18.205;134192098982050000;;108.0;6.9257815E-4;66.8;0;0;;;;;;
2026-03-28 22:18:18.575;134192098985750000;;37.657536;1.4464228E-4;11.3;0;0;;;;;;
2026-03-28 22:18:48.855;134192099288550000;;;;;0;0;421474;0.002379;-33.3;;;
2026-03-28 22:19:30.455;134192099704550000;;36.0137;1.4797597E-4;11.3;0;0;;;;;;
2026-03-28 22:19:32.455;134192099724550000;;26.0;4.4921875E-5;77.6;0;0;;;;;;
2026-03-28 22:19:33.455;134192099734550000;;26.75;5.1354982E-5;77.6;0;0;;;;;;
2026-03-28 22:19:36.455;134192099764550000;;39.05;1.7205566E-4;21.9;0;0;;;;;;
2026-03-28 22:19:48.855;134192099888550000;;;;;0;0;421534;0.002381;-34.1;;;
2026-03-28 22:19:54.455;134192099944550000;;33.2;1.0488037E-4;21.9;0;0;;;;;;
2026-03-28 22:19:56.455;134192099964550000;;24.0;7.9541016E-5;63.7;0;0;;;;;;
2026-03-28 22:19:57.455;134192099974550000;;23.75;7.7612305E-5;63.7;0;0;;;;;;
2026-03-28 22:20:00.455;134192100004550000;;37.53846;1.7443097E-4;17.8;0;0;;;;;;
2026-03-28 22:20:23.455;134192100234550000;;39.384617;1.7052284E-4;17.8;0;0;;;;;;
2026-03-28 22:20:27.455;134192100274550000;;31.4;1.1787695E-4;20.4;0;0;;;;;;
2026-03-28 22:20:48.855;134192100488550000;;;;;0;0;421594;0.002384;-34.7;;;
2026-03-28 22:20:50.205;134192100502050000;;35.88;1.4880273E-4;20.4;0;0;;;;;;
2026-03-28 22:20:50.705;134192100507050000;;144.0;5.5761717E-4;66.4;0;0;;;;;;
2026-03-28 22:20:50.955;134192100509550000;;87.0;3.0117188E-4;66.4;0;0;;;;;;
2026-03-28 22:20:52.205;134192100522050000;;20.0;4.7233072E-5;99.0;0;0;;;;;;
2026-03-28 22:20:53.455;134192100534550000;;43.0;1.4453125E-4;99.0;0;0;;;;;;
2026-03-28 22:20:54.205;134192100542050000;;14.0;1.0546875E-5;99.0;0;0;;;;;;
2026-03-28 22:20:54.705;134192100547050000;;238.0;6.1884767E-4;63.8;0;0;;;;;;
2026-03-28 22:20:55.205;134192100552050000;;76.0;3.743164E-4;84.9;0;0;;;;;;
2026-03-28 22:20:55.575;134192100555750000;;33.736843;1.2679122E-4;26.8;0;0;;;;;;
2026-03-28 22:21:14.205;134192100742050000;;30.578947;7.6989105E-5;26.8;0;0;;;;;;
2026-03-28 22:21:14.705;134192100747050000;;52.25;2.3454589E-4;41.1;0;0;;;;;;
2026-03-28 22:21:18.205;134192100782050000;;38.5;2.0646973E-4;41.1;0;0;;;;;;
2026-03-28 22:21:18.705;134192100787050000;;34.57143;1.7439314E-4;27.2;0;0;;;;;;
2026-03-28 22:21:31.955;134192100919550000;;29.142857;9.1479495E-5;27.2;0;0;;;;;;
2026-03-28 22:21:32.955;134192100929550000;;50.25;2.2272949E-4;40.8;0;0;;;;;;
2026-03-28 22:21:34.455;134192100944550000;;51.25;2.2250977E-4;40.8;0;0;;;;;;
2026-03-28 22:21:36.955;134192100969550000;;39.76;1.7196484E-4;27.4;0;0;;;;;;
2026-03-28 22:21:48.835;134192101088350000;;35.36;1.1292187E-4;27.4;0;0;;;;;;
2026-03-28 22:21:48.855;134192101088550000;;;;;0;0;421654;0.002386;-35.7;;;
2026-03-28 22:21:49.075;134192101090750000;;68.0;4.0898437E-4;84.5;0;0;;;;;;
2026-03-28 22:21:49.205;134192101092050000;;68.0;4.0898437E-4;84.5;0;0;;;;;;
2026-03-28 22:21:49.575;134192101095750000;;30.285715;9.394531E-5;60.8;0;0;;;;;;
2026-03-28 22:21:52.825;134192101128250000;;40.857143;1.2554409E-4;60.8;0;0;;;;;;
2026-03-28 22:21:53.075;134192101130750000;;12.0;2.7441407E-5;99.0;0;0;;;;;;
2026-03-28 22:21:53.455;134192101134550000;;18.0;6.0888673E-5;99.0;0;0;;;;;;
2026-03-28 22:21:54.205;134192101142050000;;36.98969;1.4014175E-4;9.7;0;0;;;;;;
2026-03-28 22:22:42.455;134192101624550000;;38.814434;1.4919408E-4;9.7;0;0;;;;;;
2026-03-28 22:22:48.855;134192101688550000;;;;;0;0;421714;0.002388;-37.0;;;
