Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),AnalogTemp ADC_Read
21841,26.67032241821289,-1.920149803161621,1.4508862495422363,9.950302124023438,0.13143180310726166,0.3602401912212372,-0.19741377234458923,38.400001525878906,33.29999923706055,107.25,30.536645889282227,2026,3,28,9,1,1,29.2890625,28.85818099975586,97002,14.441967010498047,25995,0.5567928552627563,0.1904231607913971,0.0,0.0,0.0,,,,,,,31.125,31.34000015258789,17.299999237060547,,
22740,,-1.50355863571167,2.63362193107605,9.404424667358398,0.3187354505062103,0.2596709430217743,0.11014730483293533,37.650001525878906,43.349998474121094,104.0999984741211,30.58456802368164,,,,,,,29.2890625,28.861331939697266,97002,14.447149276733398,26828,,,0.0,0.0,0.0,,,,,,,31.3125,31.440000534057617,17.329999923706055,,
23637,26.67032241821289,-1.8339585065841675,3.5434184074401855,9.442731857299805,-0.056403931230306625,0.1575053185224533,-0.0015963377663865685,36.150001525878906,44.849998474121094,101.0999984741211,30.488723754882812,2026,3,28,9,1,3,29.2890625,28.86385154724121,97002,14.457338333129883,27826,0.0,0.0,0.0,0.0,0.0,,,,,,,31.3125,31.399999618530273,17.18000030517578,,
24536,,-0.40701428055763245,4.9799394607543945,7.532158374786377,0.2623315155506134,-0.14952364563941956,0.1548447608947754,31.799999237060547,52.79999923706055,102.30000305175781,30.39287757873535,,,,,,,29.296875,28.86448097229004,97002,14.462403297424316,28764,,,0.0,0.0,0.0,,,,,,,31.3046875,31.3700008392334,17.110000610351562,,
25433,27.138431549072266,-1.0678139925003052,5.947196960449219,8.125920295715332,0.13089969754219055,0.02288084104657173,0.33576303720474243,33.45000076293945,55.349998474121094,96.5999984741211,30.6804141998291,2026,3,28,9,1,5,29.3046875,28.864797592163086,97002,14.45234489440918,29705,0.0,0.0,0.0,0.0,0.0,,,,,,,31.2265625,31.280000686645508,17.079999923706055,,
26332,,1.6759412288665771,6.320692539215088,8.087613105773926,0.14899152517318726,0.242643341422081,-0.038844216614961624,16.049999237060547,64.05000305175781,94.19999694824219,30.6804141998291,,,,,,,29.3046875,28.866687774658203,97002,14.452430725097656,30644,,,0.0,0.0,0.0,,,,,,,31.0859375,31.149999618530273,17.09000015258789,,
27229,27.138431549072266,1.41257905960083,6.0621185302734375,7.417236804962158,-0.025541404262185097,0.05959660932421684,0.04203689470887184,15.149999618530273,65.8499984741211,93.5999984741211,30.872106552124023,2026,3,28,9,1,6,29.3046875,28.86920738220215,97003,14.452548027038574,31411,0.5567928552627563,0.1904231607913971,0.0,0.0,0.0,,,,,,,30.96875,31.059999465942383,17.09000015258789,,
28129,,0.7996633648872375,6.138733386993408,7.733271598815918,-0.26712051033973694,-0.034055206924676895,-0.3825889527797699,22.5,66.1500015258789,88.94999694824219,30.536645889282227,,,,,,,29.3046875,28.871728897094727,97003,14.442591667175293,32413,,,0.0,0.0,0.0,,,,,,,30.96875,31.040000915527344,17.139999389648438,,
29026,27.138431549072266,-2.7246015071868896,6.057330131530762,7.187393665313721,0.14526672661304474,-0.002128450432792306,-0.40706613659858704,34.95000076293945,58.349998474121094,86.55000305175781,30.58456802368164,2026,3,28,9,1,8,29.3125,28.874248504638672,97003,14.432634353637695,33272,0.0,0.0,0.0,0.0,0.0,,,,,,,30.8046875,31.0,17.190000534057617,,
29925,,-3.050212860107422,6.852205276489258,5.4875102043151855,0.032458867877721786,-0.0026605629827827215,0.2761664092540741,39.599998474121094,54.599998474121094,88.05000305175781,30.58456802368164,,,,,,,29.3125,28.877399444580078,97003,14.412637710571289,34427,,,0.0,0.0,0.0,,,,,,,30.8046875,31.079999923706055,17.219999313354492,,
