Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog ADC
18284,,0.9672574996948242,-0.181959331035614,9.66299819946289,-0.0015963377663865685,0.005321125965565443,-0.017027603462338448,-10.050000190734863,11.550000190734863,79.80000305175781,27.086200714111328,,,,,,,25.4765625,25.2587947845459,96896,17.490171432495117,81399,,,0.0,0.0,0.0,,,,,,,25.6015625,25.6200008392334,21.860000610351562,,600
19182,29.479116439819336,0.9959878921508789,-0.09576806426048279,9.68694019317627,-0.0015963377663865685,0.007449576165527105,-0.01915605366230011,-8.399999618530273,11.399999618530273,77.0999984741211,26.798664093017578,2000,1,0,0,0,38,25.46875,25.26226043701172,96895,17.474971771240234,82740,0.5555555820465088,0.1900000125169754,0.0,0.0,0.0,,,,,,,25.609375,25.6200008392334,21.860000610351562,,568
20083,,0.9959878921508789,-0.17717093229293823,9.667786598205566,-0.005321125965565443,0.003192675532773137,-0.021816615015268326,-8.699999809265137,11.699999809265137,77.0999984741211,26.89451026916504,,,,,,,25.4765625,25.266040802001953,96896,17.44954490661621,84460,,,0.0,0.0,0.0,,,,,,,25.6015625,25.6299991607666,21.84000015258789,,592
20982,29.01100730895996,0.8906430602073669,-0.14365209639072418,9.773131370544434,-0.0026605629827827215,0.0005321126081980765,-0.018623940646648407,-9.75,11.550000190734863,78.44999694824219,26.9903564453125,2000,1,0,0,0,40,25.484375,25.26919174194336,96897,17.4343318939209,84796,1.6666666269302368,0.5699999928474426,0.0,0.0,0.0,,,,,,,25.59375,25.6299991607666,21.829999923706055,,575
21883,,1.0103530883789062,-0.10534487664699554,9.677363395690918,-0.0005321126081980765,0.005853238515555859,-0.021816615015268326,-10.350000381469727,11.25,81.0,26.89451026916504,,,,,,,25.484375,25.270767211914062,96895,17.41904067993164,86340,,,0.0,0.0,0.0,,,,,,,25.59375,25.600000381469727,21.84000015258789,,599
22782,29.479116439819336,0.9959878921508789,-0.17717093229293823,9.66299819946289,-0.0026605629827827215,-0.0037247880827635527,-0.02075239084661007,-11.399999618530273,12.149999618530273,78.9000015258789,26.9903564453125,2000,1,0,0,0,42,25.484375,25.273286819458008,96895,17.41404914855957,87312,0.5558643937110901,0.1901056170463562,0.0,0.0,0.0,,,,,,,25.59375,25.610000610351562,21.84000015258789,,568
23683,,0.9385270476341248,-0.21547815203666687,9.715670585632324,-0.007981688715517521,0.002128450432792306,-0.023412954062223434,-11.699999809265137,12.149999618530273,80.8499984741211,26.9903564453125,,,,,,,25.484375,25.275493621826172,96895,17.409040451049805,88306,,,0.0,0.0,0.0,,,,,,,25.5859375,25.610000610351562,21.829999923706055,,596
24581,29.479116439819336,0.9959878921508789,-0.09576806426048279,9.806650161743164,-0.0005321126081980765,0.006385351065546274,-0.015963377431035042,-9.75,10.5,78.44999694824219,27.086200714111328,2000,1,0,0,0,44,25.4921875,25.276437759399414,96895,17.383474349975586,89323,0.5555555820465088,0.1900000125169754,0.0,0.0,0.0,,,,,,,25.5859375,25.6299991607666,21.850000381469727,,566
25482,,0.9720458984375,-0.1149216815829277,9.744400978088379,-0.009045913815498352,0.007981688715517521,-0.028201965615153313,-10.199999809265137,11.699999809265137,77.8499984741211,27.086200714111328,,,,,,,25.484375,25.277067184448242,96894,17.373262405395508,90267,,,0.0,0.0,0.0,,,,,,,25.5859375,25.6299991607666,21.850000381469727,,591
26381,29.479116439819336,0.9816226959228516,-0.13407529890537262,9.734824180603027,-0.0026605629827827215,0.0047890134155750275,-0.018091827630996704,-8.399999618530273,14.100000381469727,77.8499984741211,26.846586227416992,2000,1,0,0,0,45,25.4921875,25.27832794189453,96895,17.363082885742188,91135,0.0,0.0,0.0,0.0,0.0,,,,,,,25.5859375,25.6299991607666,21.829999923706055,,575
